case,2023-10-20T23:30:34.755742,2023-10-21T00:38:13.160663,2023-10-21T00:42:49.956543,2023-10-21T00:50:08.428110,2023-10-21T01:17:21.760157,2023-10-21T01:21:32.438044,2023-10-21T01:50:36.630387,2023-10-21T01:54:26.281402,2023-10-21T01:57:51.652721,2023-10-21T02:01:48.867771,2023-10-21T02:05:03.877950,2023-10-21T02:14:35.367278,2023-10-21T02:18:43.473352,2023-10-21T02:20:40.484872,2023-10-21T02:22:41.002817,2023-10-21T10:31:06.980853,2023-10-21T10:34:36.903757,2023-10-21T10:36:26.601112,2023-10-21T10:38:10.737221,2023-10-21T10:40:09.883808,2023-10-21T10:59:16.680439,2023-10-21T11:01:53.521567,2023-10-21T11:04:01.328806,2023-10-21T11:06:37.147415,2023-10-21T11:09:24.767237,2023-10-21T11:12:29.737628,2023-10-21T11:14:48.765113,2023-10-21T11:33:17.839442,2023-10-21T11:45:56.215101,2023-10-21T11:48:29.697132,2023-10-21T11:51:51.357325,2023-10-21T11:54:56.600191,2023-10-21T13:53:18.558109,2023-10-21T14:46:49.321917,2023-10-21T15:29:00.068713,2023-10-21T15:59:28.617047,2023-10-21T16:04:08.523130,2023-10-21T16:27:26.583949
0298.txt,461662,772975,772975,30498225,461662,16763909,5114289,4190354,3568781,5893184,2741370,1935379,1363632,2442659,1935379,1935379,10846598,1517032,3383187,1935379,1935379,1935379,1935379,1935379,1935379,1935379,1935379,2023824,8780998,691101,691101,691101,917873,691101,691101,691101.0,691101.0,691101.0
0299.txt,1027274,2808918,1027274,37272027,1027274,60996853,83292,384724,381048,239074,402461,8920,36854,7561,8920,8920,217641,170174,89755,8920,8920,8920,8920,8920,8920,8920,8920,8920,8036084,262159,262159,262159,262159,262159,262159,262159.0,262159.0,262159.0
0300.txt,1080216,1080216,4413757,31091277,1080216,20691110,644103,2452483,304443,1813937,698877,713899,1255350,838883,713899,713899,1009771,845176,918752,713899,713899,713899,713899,713899,713899,713899,713899,713899,11976260,3773016,3773016,3773016,3968326,3773016,3773016,3773016.0,3773016.0,3773016.0
0301.txt,3802442,3802442,6074107,41929834,3802442,26022129,6454856,7891396,4785158,3611428,2226837,1773988,329828,3666760,1773988,3688866,1551618,4293158,1773988,1773988,3688866,1773988,3688866,3688866,1773988,1773988,3688866,5813411,8796906,1634806,1634806,1634806,2163813,1634806,1634806,1634806.0,1634806.0,1634806.0
0302.txt,1300551,1261049,1261049,13179489,1300551,18796636,1788953,2742428,4917443,4563005,1434373,1453390,4097238,984542,1453390,1453390,1453390,984542,1453390,1453390,1453390,1453390,1453390,1453390,1453390,1453390,1453390,2180623,10322223,500085,500085,500085,500085,500085,500085,500085.0,500085.0,500085.0
0303.txt,177982,177982,177982,60448382,177982,45504403,236929,723894,27552,186441,240385,30493,269812,36606,30493,30493,243275,131143,263633,30493,30493,30493,30493,30493,30493,30493,30493,30493,13567861,121467,121467,121467,121467,121467,121467,121467.0,121467.0,121467.0
0304.txt,1416174,1416174,1416174,26647510,1416174,1615763,2689994,4534976,1400323,1069688,895678,1576027,1588720,1071584,1576027,1576027,786138,1576027,1576027,1576027,1576027,1576027,1576027,1576027,1576027,1576027,1576027,1576027,5806809,767304,767304,767304,1122048,767304,767304,767304.0,767304.0,767304.0
0305.txt,202510,202510,202510,63534353,202510,1233849,73041,617030,645865,506288,947737,102166,450521,256022,102166,364880,364880,1156901,1156901,102166,364880,102166,364880,102166,102166,102166,102166,939256,6588108,126178,126178,126178,126178,126178,126178,126178.0,126178.0,126178.0
0306.txt,61230,61230,61230,43756581,90628,61230,441758,2352806,1439619,1013116,50652,104408,466949,100119,104408,104408,104408,100119,100119,104408,104408,104408,104408,104408,104408,104408,104408,104408,7879535,324645,324645,324645,364642,324645,59010,59010.0,240002.0,59010.0
0307.txt,3103046,3627770,3627770,54016823,3103046,32615354,6596459,17556895,5903584,3946388,2749615,1792026,7675831,1622664,1792026,1792026,3488629,21586142,21586142,1792026,1792026,1792026,1792026,1792026,1792026,1792026,1792026,6039091,5339196,387984,387984,387984,422396,387984,387984,387984.0,387984.0,387984.0
0308.txt,4530321,4359307,4359307,22762924,4530321,15572989,2741791,4190730,5613063,7291960,3149869,3948812,4812162,3901382,3948812,3948812,4806181,3901382,3742968,3948812,3948812,3948812,3948812,3948812,3948812,3948812,3948812,4557469,7590649,3737831,3042325,3737831,3737831,3737831,3562258,3562258.0,3562258.0,3562258.0
0309.txt,540454,1874012,540454,42490749,540454,14672173,1262110,2623216,2374185,1197734,652944,772271,435751,1223292,772271,772271,697365,738936,701941,772271,772271,772271,772271,772271,772271,772271,772271,772271,4510237,618283,618283,618283,677749,618283,618283,618283.0,618283.0,618283.0
0310.txt,5370040,5508251,6069636,13059476,5370040,13722704,6377219,6953298,6904142,6075740,4850315,2990029,3595899,5598710,2990029,2990029,2990029,2990029,2990029,2990029,2990029,2990029,2990029,2990029,2990029,2990029,2990029,5734242,3347875,4901675,4901675,4901675,4901675,4901675,4901675,4901675.0,4901675.0,4901675.0
0311.txt,691868,691868,691868,35340415,691868,23432935,937720,1015121,714740,1670469,345991,758390,794215,516984,758390,758390,924919,823841,1185631,758390,758390,857949,758390,758390,758390,758390,758390,758390,8391504,1011901,1011901,1011901,1024885,1011901,1011901,1011901.0,1011901.0,1011901.0
0312.txt,70577,119338,119338,122338122,70577,44250442,35097,27370,64595,415716,90320,61744,15061,50097,61744,61744,40854,74621,8510,61744,61744,61744,61744,61744,61744,61744,61744,61744,391882,40374,40374,40374,40374,40374,40374,40374.0,40374.0,40374.0
0313.txt,4440068,4440068,4440068,33671025,4426433,21543118,4835901,8111135,5245905,5905683,4360248,4444542,4518827,4484619,4444542,4822451,4783766,4327706,4327706,4822451,4822451,4822451,4822451,4822451,4822451,4822451,4822451,4822451,3821187,5010515,4942283,5010515,5010515,5010515,5235586,5235586.0,5235586.0,5235586.0
0314.txt,465551,606200,606200,38728257,465551,24962403,930877,547646,255794,733485,640819,483070,227819,474898,394128,483070,822186,867908,867465,483070,470676,470676,394128,470676,394128,483070,394128,470676,1657657,315851,315851,315851,458861,315851,315851,315851.0,315851.0,315851.0
0315.txt,3227039,3347176,3347176,17908829,3227039,15133868,3588448,3372893,2884103,11207708,2176612,3422456,11377297,3151358,3422456,3422456,3422456,3151358,3151358,3422456,3422456,3422456,3422456,3422456,3422456,3422456,3422456,4372821,3404980,13003380,13003380,13003380,13003380,13003380,13003380,13003380.0,13003380.0,13003380.0
0316.txt,476604,999902,1013611,30560366,476604,11610003,1238782,1379442,2831896,1300174,683692,837572,2194722,599157,837572,1096461,1285309,588996,2944410,1096461,3002175,4020280,713394,713394,713394,713394,713394,2073288,1436407,2387909,2387909,2387909,2819735,2387909,2611990,2707125.0,3942759.0,2388017.0
0317.txt,1482916,1184402,1184402,30976288,1482916,19056574,1977539,5533440,2314088,3363049,1062232,1959453,2069297,1022351,1959453,1959453,777417,1397735,1959453,1959453,1959453,1959453,1959453,1959453,1959453,1959453,1959453,1297338,12862827,686906,686906,686906,788277,686906,686906,686906.0,686906.0,686906.0
