case,2023-10-20T23:30:34.755742,2023-10-21T00:38:13.160663,2023-10-21T00:42:49.956543,2023-10-21T00:50:08.428110,2023-10-21T01:17:21.760157,2023-10-21T01:21:32.438044,2023-10-21T01:50:36.630387,2023-10-21T01:54:26.281402,2023-10-21T01:57:51.652721,2023-10-21T02:01:48.867771,2023-10-21T02:05:03.877950,2023-10-21T02:14:35.367278,2023-10-21T02:18:43.473352,2023-10-21T02:20:40.484872,2023-10-21T02:22:41.002817,2023-10-21T10:31:06.980853,2023-10-21T10:34:36.903757,2023-10-21T10:36:26.601112,2023-10-21T10:38:10.737221,2023-10-21T10:40:09.883808,2023-10-21T10:59:16.680439,2023-10-21T11:01:53.521567,2023-10-21T11:04:01.328806,2023-10-21T11:06:37.147415,2023-10-21T11:09:24.767237,2023-10-21T11:12:29.737628,2023-10-21T11:14:48.765113,2023-10-21T11:33:17.839442,2023-10-21T11:45:56.215101,2023-10-21T11:48:29.697132,2023-10-21T11:51:51.357325,2023-10-21T11:54:56.600191,2023-10-21T13:53:18.558109,2023-10-21T14:46:49.321917,2023-10-21T15:29:00.068713,2023-10-21T15:59:28.617047,2023-10-21T16:04:08.523130,2023-10-21T16:27:26.583949
0354.txt,926498,926498,1115081,22138817,926498,13278623,722398,370621,558128,486620,1116554,1140364,649582,808914,1140364,826320,872438,793438,747276,826320,826320,826320,826320,826320,826320,826320,826320,826320,5933306,2461607,2461607,2461607,2627679,2461607,2461607,2461607.0,2461607.0,2461607.0
0355.txt,5035806,5128383,5128383,15147814,5035806,18128584,3928765,5602810,7041384,6831987,8314891,6469254,7100830,4970272,6469254,6469254,6469254,4970272,6469254,6469254,6469254,6469254,6469254,6469254,6469254,6469254,6469254,5077989,2219330,4299172,4299172,4299172,4299172,4299172,4299172,4299172.0,4299172.0,4299172.0
0356.txt,6100929,3232596,3232596,19363709,6100929,10853120,4957850,4834295,4483787,4601166,4415907,2292141,5307908,3053681,2292141,2292141,5302140,2292141,2292141,2292141,2292141,2292141,2292141,2292141,2292141,2292141,2292141,3481310,1279983,378945,378945,378945,378945,378945,378945,378945.0,378945.0,378945.0
0357.txt,726659,726659,1278845,38628573,726659,37011474,126820,309475,107966,226495,24193,146525,325641,264630,146525,146525,64499,257568,240347,146525,146525,146525,146525,146525,146525,146525,146525,146525,20795767,147912,147912,147912,151792,147912,147912,147912.0,147912.0,147912.0
0358.txt,5318627,6329508,6329508,31945656,5318627,26445209,9008087,10470701,9950173,4369592,10104844,6088306,13246640,6050361,6088306,6088306,5259257,6050361,6088306,6088306,6088306,6088306,6088306,6088306,6088306,6088306,6088306,10505445,6667555,1819595,1819595,1819595,1819595,1819595,1819595,1819595.0,1819595.0,1819595.0
0359.txt,325931,325931,325931,43193088,325931,325931,325276,4700817,765533,1583061,753794,1282498,1452009,1419497,1282498,1282498,206840,1419497,1282498,1282498,1275651,1275651,1275651,1275651,1282498,1282498,1282498,1282498,2272616,587679,587679,587679,748579,587679,587679,587679.0,587679.0,587679.0
0360.txt,2373155,2654844,2654844,30530544,2373155,2373155,1550902,1515046,361720,269697,1980855,2368654,1507466,2475762,2368654,957961,2189356,1619409,990635,957961,957961,957961,957961,957961,957961,957961,957961,957961,13632728,672465,672465,672465,988462,672465,672465,672465.0,672465.0,672465.0
0361.txt,4330729,2542450,998512,30255176,4330729,22973965,3869086,8299214,694723,292706,184822,2934328,6683025,972080,2934328,2934328,3103830,1532484,2934328,2934328,2934328,2934328,2934328,2934328,2934328,2934328,2934328,3319259,1226699,61606,61606,61606,63563,61606,61606,61606.0,61606.0,61606.0
0362.txt,3053158,3053158,3504504,52007729,3504504,26943706,8672986,5169777,1208580,364657,769325,484360,2879047,104267,484360,484360,632634,484360,484360,484360,484360,484360,484360,484360,484360,484360,484360,3816212,4368392,837259,837259,837259,1092124,837259,837259,837259.0,837259.0,837259.0
0363.txt,389148,389148,2642501,43403262,389148,16817986,99220,236646,229026,946578,136338,173755,294878,183674,173755,173755,266881,343942,348113,173755,173755,173755,173755,173755,173755,173755,173755,173755,4566129,298244,298244,298244,415226,298244,102021,102021.0,102021.0,102021.0
0364.txt,2832017,3514683,8164923,63537847,7475526,25293479,394427,2206953,1164595,579993,595256,472199,998348,996424,472199,772913,1028737,907696,702272,472199,772913,472199,772913,472199,472199,772913,772913,772913,12652276,597827,597827,597827,867870,597827,597827,600013.0,600013.0,597827.0
0365.txt,1876117,1882006,2588432,55149445,1876117,16082269,3225592,3518391,1722550,1005802,811505,1416826,1423895,1510733,1416826,1416826,1480829,946693,1808918,1416826,1416826,1416826,1416826,1416826,1416826,1416826,1416826,1416826,5286860,1403477,1403477,1403477,1866530,1403477,1403477,1403477.0,1403477.0,1403477.0
0366.txt,98785,169135,98785,37623158,98785,24665108,340198,101370,93808,396926,78412,39731,116015,93935,39731,84300,434828,1021603,89130,84300,84300,39731,39731,39731,39731,39731,39731,84300,14702130,135992,135992,135992,185799,135992,135992,135992.0,135992.0,135992.0
0367.txt,315949,296962,296962,61665885,315949,27073477,301732,2739079,544656,241885,290063,197522,119224,225559,197522,137126,240118,914791,346428,197522,197522,197522,137126,197522,137126,137126,137126,137126,7084103,355516,355516,355516,584672,355516,355516,355516.0,359693.0,355516.0
0368.txt,410616,410616,403445,26544896,410616,29366197,7863916,1867607,4024832,5084333,410616,4243702,1488177,4243702,4243702,4243702,4624325,4243702,4243702,4243702,4243702,4243702,4243702,4243702,4243702,4243702,4243702,2899594,3236889,1886471,1886471,1886471,1889088,1886471,1886471,1886471.0,1886471.0,1886471.0
0369.txt,1301894,2015080,2015080,42188350,1301894,25070749,932209,1908885,209478,1188245,469532,985217,1763705,895289,985217,6787614,1352076,840798,946872,6787614,7278577,7457779,6787614,7278577,6787614,6787614,6787614,6787614,9210981,710652,710652,710652,737565,710652,710652,710652.0,710652.0,710652.0
0370.txt,30801,30801,30801,53839801,30801,30801,207301,10201,264501,112301,181501,177501,252101,254401,177501,177501,177501,55501,307301,177501,177501,177501,177501,177501,177501,177501,177501,177501,10143901,193701,193701,193701,193701,193701,193701,193701.0,193701.0,193701.0
0371.txt,360597,360597,360597,28755329,360597,11943872,805460,1544995,919359,2387512,684044,1567267,1166498,956987,1567267,1567267,560402,1346810,717705,1567267,1713992,1740514,1567267,1567267,364714,364714,1567267,1567267,9098474,985760,985760,985760,1225299,985760,980779,1006083.0,1194850.0,980779.0
0372.txt,2026963,2026963,2026963,22477767,2026963,19848955,2166141,9009130,556960,7892236,1931223,2460662,2646850,2233552,2460662,2460662,3219107,1764414,2460662,2460662,2460662,2460662,2460662,2460662,2460662,2460662,2460662,2808504,2594960,714581,714581,714581,900960,714581,714581,714581.0,714581.0,714581.0
0373.txt,240238,240238,240238,44668575,240238,20520580,508563,1728130,1196631,2965964,471560,811833,423864,294614,811833,811833,589480,498924,498924,811833,811833,811833,811833,811833,811833,811833,811833,1615836,1238432,537733,537733,537733,816624,533620,533620,533620.0,533620.0,533620.0
0374.txt,11201,11201,11201,15010501,11201,58734601,6401,8601,24201,7501,22601,11501,19601,2301,11501,11501,3101,30701,23701,11501,11501,11501,11501,11501,11501,11501,11501,11501,7512701,2601,2601,2601,2601,2601,2601,2601.0,2601.0,2601.0
0375.txt,2698307,1135424,633849,24737318,2698307,18189703,3770446,2865227,722113,3807198,5311570,5759661,2963940,1738181,5759661,507561,978825,508542,508542,533181,507561,533181,533181,533181,507561,533181,507561,533181,2236105,519211,519211,519211,519211,519211,519211,519211.0,519211.0,519211.0
0376.txt,1145260,1540371,1145260,30730138,1145260,18171616,797653,291566,477421,308788,852658,322081,531110,130998,322081,322081,546153,545612,236873,322081,322081,322081,322081,322081,322081,322081,322081,322081,742040,1205906,1205906,1205906,1445275,1205906,1205906,1205906.0,1205906.0,1205906.0
0377.txt,2990172,3490486,3490486,18955097,2990172,19716480,9709201,9748662,2306351,6152889,2520449,1002329,2791462,3278100,1002329,1002329,1002329,1077442,1002329,1002329,1002329,1002329,1002329,1002329,1002329,1002329,1002329,2053826,6688573,488748,488748,488748,488748,488748,488748,488748.0,488748.0,488748.0
0378.txt,2178851,3242051,3242051,28569151,2178851,4295851,3242051,2087851,945651,450651,2178851,176951,176951,68151,176951,176951,176951,68151,176951,176951,176951,176951,176951,176951,176951,176951,176951,3969451,1022151,64951,64951,64951,64951,64951,64951,64951.0,64951.0,64951.0
0379.txt,2685848,4021780,3131116,23971975,2685848,10695577,4335394,4152684,5288113,5009106,5755804,2071282,3129248,2027717,2071282,2071282,2212815,4112360,4112360,2071282,2071282,2071282,2071282,2071282,2071282,2071282,2071282,4997367,4483206,2405246,2405246,2405246,2405246,2405246,2405246,2405246.0,2405246.0,2405246.0
0380.txt,1523793,1943298,2116409,29226641,1523793,24446211,250842,802693,231159,1145747,260534,173924,1322419,334504,173924,173924,417346,442030,1324533,173924,173924,173924,173924,173924,173924,173924,173924,173924,290693,371727,371727,371727,371727,371727,371727,371727.0,371727.0,371727.0
0381.txt,10857639,519286,519286,17215649,10857639,20899724,4519802,4363158,1385106,22830779,22743886,542485,1696438,1017518,542485,542485,1098859,8451058,8451058,542485,542485,542485,542485,542485,542485,542485,542485,1148191,1090924,459926,459926,459926,459926,459926,459926,459926.0,459926.0,459926.0
0382.txt,1677106,1847853,1847853,18512329,1677106,18727573,1974458,2935448,5158655,4469688,3002415,629972,13216027,2306716,629972,629972,629972,1758176,1758176,629972,629972,629972,629972,629972,629972,629972,629972,1280926,9953925,1046311,1046311,1046311,1260763,1046311,1046311,1046311.0,1046311.0,1046311.0
0383.txt,16701,16701,16701,15161601,16701,61031601,995901,14170901,20101,675901,16701,195001,58901,9301,195001,195001,195001,9301,195001,195001,195001,195001,195001,195001,195001,195001,195001,68401,4924801,114001,114001,114001,114001,114001,114001,1445601.0,727101.0,114001.0
0384.txt,3753273,5074051,4929806,21770611,3753273,17336917,9315423,13955719,17140990,2027286,3084106,9053722,9067292,8876018,9053722,9053722,8880001,5956978,9053722,9053722,9053722,9053722,9053722,9053722,9053722,9053722,9053722,8029884,5866687,5107877,5107877,5107877,5120909,5107877,5107877,5107877.0,5107877.0,5107877.0
0385.txt,240408,240408,240408,27503045,240408,29809498,831974,132145,2308295,2308295,240408,330158,938815,240408,330158,330158,1220330,330158,330158,330158,330158,330158,330158,330158,330158,330158,330158,733511,9941904,453223,453223,453223,453223,453223,453223,453223.0,453223.0,453223.0
0386.txt,353094,662767,344737,72814333,670609,18968765,381109,428581,1612007,518469,677605,527508,140515,198073,527508,527508,446965,680006,589541,527508,510805,497955,527508,795978,527508,802622,527508,527508,17325250,911810,911810,911810,1227191,911810,633541,925090.0,1056868.0,633541.0
0387.txt,6689494,8461066,8461066,37934602,6689494,47874665,525905,358069,167406,509694,288516,2336268,2017485,1349075,2336268,2336268,2336268,2336268,2336268,2336268,2336268,2336268,2336268,2336268,2336268,2336268,2336268,5548269,2256285,691223,691223,691223,691223,691223,691223,691223.0,691223.0,691223.0
0388.txt,938074,938074,9653652,46213414,938074,25568549,195662,1139662,352658,427520,1258162,57254,81543,346262,57254,57254,111670,166016,94447,57254,57254,57254,57254,57254,57254,57254,57254,57254,16300575,300207,300207,300207,547583,300207,300207,300207.0,300901.0,300207.0
0389.txt,868680,1742079,1397379,40012041,868680,13094260,1330517,1756907,808133,10034849,1924598,1579495,4874707,1136859,1579495,1579495,3124427,3606702,1647029,1579495,1579495,1579495,1579495,1579495,1579495,1579495,1579495,2287945,1955388,938144,938144,938144,1228551,865290,865290,865290.0,865290.0,865290.0
0390.txt,1204600,1204600,1204600,33968001,1204600,20902558,139084,3186077,160044,132708,147366,442492,499555,73037,442492,442492,201948,255578,549310,442492,442492,442492,442492,442492,442492,442492,442492,442492,2604789,1884266,1884266,1884266,1816847,1884266,1884266,1885540.0,1922136.0,1884266.0
0391.txt,5357591,5397827,5397827,43842123,5357591,5465896,2390106,5049919,3620823,3826326,2448245,10369155,1937929,9228308,10369155,10369155,3714131,10696571,10696571,10369155,10369155,10369155,10369155,10369155,10369155,10369155,10369155,3726890,11881210,5023957,5023957,5023957,5492470,5023957,5023957,5023957.0,5023957.0,5023957.0
0392.txt,5687100,6003650,6003650,13931093,5687100,20030869,5662639,5462767,6674272,7723586,9663346,6253817,6304049,6095904,6253817,6253817,6253817,6095904,6095904,6253817,6253817,6253817,6253817,6253817,6253817,6253817,6253817,6209823,4792718,2919476,2919476,2919476,2919476,2919476,2919476,2919476.0,2919476.0,2919476.0
0393.txt,2050425,3169444,3169444,39669829,2050425,13468958,469666,652074,766852,2203015,1780231,2749289,1142481,250334,2749289,1376173,883779,1140182,1202856,1376173,1376173,2258544,1376173,1376173,857955,857955,857955,1376173,4505595,2715599,2715599,2715599,2434900,2715599,2829188,2881526.0,3169192.0,2714343.0
0394.txt,26551,32651,26551,18106251,32651,49861251,10751,31951,5151,14251,11751,7851,37551,16551,7851,7851,25251,13751,13351,7851,7851,7851,7851,7851,7851,7851,7851,7851,1945451,8651,8651,8651,8651,8651,8651,22751.0,8651.0,8651.0
0395.txt,1624332,439223,439223,27571857,1624332,16710425,836010,2485429,3340860,776914,1253089,2133300,3044836,653318,1494651,1494651,2112390,2371457,1353337,2133300,1494651,1494651,2133300,2133300,2133300,1494651,2133300,1494651,1445959,320682,320682,320682,320682,320682,320682,320682.0,320682.0,320682.0
0396.txt,1315287,1306937,1306937,47592085,1315287,2592966,2014118,3031089,1339305,5349028,2369254,1571163,2592066,1650779,1571163,1571163,1157958,1663231,1571163,2775709,2775709,1571163,2775709,2775709,2775709,2775709,2775709,2644862,5907849,2162581,2162581,2162581,3778894,2162581,2162581,2162581.0,2162581.0,2162581.0
0397.txt,190545,190545,190545,37078813,190545,20855576,330324,195666,812633,686785,713399,114503,204352,914840,114503,114503,814403,142398,169992,114503,114503,114503,114503,114503,114503,114503,114503,114503,6109210,309588,309588,309588,413812,309588,309588,309588.0,309588.0,309588.0
0398.txt,360697,360697,360697,29126146,360697,13631211,595611,5802948,1123979,816921,267989,910046,899283,573980,910046,910046,1258686,482102,376092,1004471,910046,1262109,910046,910046,910046,1004471,910046,1004471,7926770,949646,949646,949646,1086870,949646,957545,957545.0,957545.0,957545.0
0399.txt,940899,813228,813228,49541949,940899,48757787,752365,7349264,6300625,6325973,495081,2845573,13938558,1492827,2845573,2845573,2845573,1492827,2845573,2845573,2845573,2845573,2845573,2845573,2845573,2845573,2845573,9800175,11404141,26205,26205,26205,26205,26205,26205,146134.0,146134.0,26205.0
0400.txt,5625325,5625325,5625325,23909528,5625325,17082623,3617942,2743723,5259937,6703244,4130947,5470220,2662653,5474786,5470220,5470220,5470220,5470220,5470220,5470220,5470220,5470220,5470220,5470220,5470220,5470220,5470220,7025629,6485844,10443778,10443778,10443778,10443778,10443778,10443778,10443778.0,10443778.0,10443778.0
0401.txt,492156,482423,482423,87429863,492156,28867299,5127616,4140034,236559,450478,141630,910583,1017944,792107,910583,910583,1242856,792107,910583,910583,910583,910583,910583,910583,910583,910583,910583,8019494,21303944,376216,376216,376216,400328,376216,376216,376216.0,376216.0,376216.0
0402.txt,3244891,2496427,2496427,34738479,3244891,7993006,4321073,7933915,5888015,3873133,2099098,2517448,1540171,3111115,2517448,2517448,2076751,848640,848640,2517448,2517448,2517448,2517448,2517448,2517448,2517448,2517448,3294479,23266330,2347013,2347013,2347013,3029639,2347013,2347013,2347013.0,2347013.0,2347013.0
0403.txt,787242,728407,728407,77809177,787242,787242,127250,780753,58292,66092,858781,230224,225425,119367,230224,230224,310268,580848,332720,230224,230224,230224,230224,230224,230224,230224,230224,230224,4417180,226696,226696,226696,250790,226696,226696,226696.0,226696.0,226696.0
0404.txt,1415527,1394827,1394827,29713784,1415527,17736748,1369039,1735791,1488438,1422969,1305156,1483558,1500840,1428386,1483558,1199770,1197317,1207115,1199770,1199770,1199770,1172323,1199770,1199770,1199770,1199770,1199770,1199770,1245668,1190205,1095907,1190205,1190205,1190205,1172189,1172189.0,1172189.0,1172189.0
0405.txt,51701,51701,51701,39412501,51701,47060701,18701,6801,83201,16301,23401,93301,29701,35001,93301,93301,96701,85801,75201,93301,93301,93301,93301,93301,93301,93301,93301,93301,154201,87601,87601,87601,87601,87601,87601,87601.0,87601.0,87601.0
0406.txt,669645,669645,669645,44125436,669645,18785982,681088,859312,1022509,758512,653366,896521,802659,766426,675020,1127318,909130,797863,728200,1127318,692772,1129558,1127318,692772,692772,692772,692772,1127318,836522,1949842,1949842,1949842,2335521,1949842,1971125,1971789.0,2495452.0,1949842.0
0407.txt,176711,404406,404406,8174290,176711,16579954,5327715,5824523,1222886,5076361,2942078,3841280,7830779,381623,3841280,3841280,3841280,3841280,3841280,3841280,3841280,3841280,3841280,3841280,3841280,3841280,3841280,3604684,8583505,780263,780263,780263,967886,780263,780263,780263.0,780263.0,780263.0
0408.txt,3952062,4861391,4810605,21504684,3952062,18851045,11889858,11178209,1876190,3757526,4860237,2466334,3271636,5627541,2466334,2466334,5656718,2929082,2466334,2466334,2466334,2466334,2466334,2466334,2466334,2466334,2466334,5181865,339607,734616,734616,734616,734616,734616,734616,734616.0,734616.0,734616.0
0409.txt,137429,260043,137429,64800686,137429,137429,746809,843491,345621,375068,588839,116612,381152,182452,116612,116612,143079,231761,231761,116612,116612,116612,116612,116612,116612,116612,116612,116612,4458041,478529,478529,478529,656927,478529,478529,478529.0,478529.0,478529.0
0410.txt,443352,443352,2170731,30580529,443352,14688529,1491309,1762834,608653,1289122,405454,1065528,1104598,1707608,1001092,2213095,1028180,527575,1159057,2213095,3026630,3397622,2213095,3026630,2213095,2213095,2213095,2213095,11841016,1535084,1535084,1535084,2007875,1535084,1535084,1535084.0,1535084.0,1535084.0
0411.txt,12187,13474,13474,49505914,12187,18525700,214070,70200,77708,54683,51271,27251,149946,249824,40830,40830,46941,140227,60633,27251,40830,40830,27251,27251,27251,27251,40830,40830,9831730,53181,53181,53181,53181,53181,53181,53181.0,53181.0,53181.0
0412.txt,10221451,10208969,10208969,20273683,10221451,11004702,8966691,9725227,7715443,5686204,8225550,8757010,8933956,8762930,8757010,8757010,9077883,8757010,8757010,8757010,8757010,8757010,8757010,8757010,8757010,8757010,8757010,10855081,6143808,2365971,2365971,2365971,2365971,2365971,2365971,2365971.0,2365971.0,2365971.0
0413.txt,109089,268348,451869,70500547,442863,23976457,54317,198946,469889,75629,160558,406308,640094,70297,406308,406308,238064,154649,1374873,406308,406308,406308,406308,406308,406308,406308,406308,406308,10763475,95110,95110,95110,95110,95110,95110,95110.0,95110.0,95110.0
0414.txt,98175,98175,98175,80461448,98175,21677609,634749,294652,160104,607015,672925,327330,346204,407305,327330,88044,556579,151376,159015,88044,88044,88044,327330,327330,327330,327330,327330,314578,20268745,148886,148886,148886,151657,148886,148886,148886.0,148886.0,148886.0
0415.txt,147736,147736,147736,59234451,147736,21220346,215148,10581522,266683,82898,1719171,465696,1561275,35286,465696,465696,290384,488875,488875,465696,465696,465696,465696,465696,465696,465696,465696,465696,25083532,1349322,1349322,1349322,1491403,1349322,1349322,1349322.0,1349322.0,1349322.0
0416.txt,1244349,1551094,1243697,29168159,1244349,23868899,2374791,1247456,4606657,1187153,1428949,1117936,1088975,678756,1117936,1117936,1169936,1120399,1465939,1117936,1117936,1285438,1117936,1117936,1117936,1117936,1117936,1117936,11309945,1114769,1114769,1114769,1579398,1114769,1114769,1114769.0,1114769.0,1114769.0
0417.txt,315085,315085,315085,57689076,315085,25095328,474997,1660289,619970,215458,1606137,185976,115517,371634,318403,185976,336186,234152,353383,185976,318403,318403,185976,318403,318403,318403,185976,318403,3077493,195579,195579,195579,221759,195579,195579,195579.0,195579.0,195579.0
0418.txt,23998,23998,23998,62148272,23998,37340227,28399,293869,13685,975448,93246,63878,44109,25221,63878,63878,63878,25221,214441,63878,63878,63878,63878,63878,63878,63878,63878,63878,680319,1129170,1129170,1129170,1193383,1129170,1129170,1129170.0,1129170.0,1129170.0
0419.txt,1968055,3090836,3171715,34768807,3090836,14379340,3847649,4479392,1831350,4585496,2314282,2361588,1561170,653528,2361588,2370069,1328483,4285086,4285086,2361588,2361588,2370069,2370069,2361588,2370069,2370069,2361588,3437091,5675459,1513600,1513600,1513600,2690378,1513600,1513600,1513600.0,1993578.0,1513600.0
0420.txt,4803281,4655537,4655537,25790152,4803281,25400450,5264219,3800830,6936228,4647528,8132209,4733186,2707138,3975993,4733186,4733186,4733186,3975993,4733186,4733186,4733186,4733186,4733186,4733186,4733186,4733186,4733186,4813077,6363016,5447167,5447167,5447167,5447167,5447167,5447167,5447167.0,5447167.0,5447167.0
0421.txt,6133097,6113611,6113611,26876013,6133097,18101510,13497369,11811620,7390407,7582978,7063240,6156801,6416354,6273231,6156801,6156801,2863755,5338827,5338827,6156801,6156801,6156801,6156801,6156801,6156801,6156801,6156801,10785980,3664707,4041523,4041523,4041523,4055951,4041523,4041523,4041523.0,4041523.0,4041523.0
0422.txt,1182337,2243208,2243208,35518692,1182337,1182337,3424921,6077472,976457,821629,668546,1003446,500499,827406,1003446,1003446,1003446,763172,763172,1003446,1003446,1003446,1003446,1003446,1003446,1003446,1003446,2082164,2673327,191207,191207,191207,191207,191207,191207,191207.0,191207.0,191207.0
0423.txt,75874,75874,75874,57404303,75874,41454285,53291,54116,82733,115713,43495,611300,37805,31376,611300,611300,25413,60779,23945,611300,611300,611300,611300,611300,611300,611300,611300,611300,1727232,428777,428777,428777,456610,428777,428777,428777.0,428777.0,428777.0
0424.txt,860291,906794,849754,40421254,860291,11007905,2148405,2899229,2599139,3819823,889758,816863,1386698,3217447,816863,816863,2161717,2341846,1215972,1112075,799636,874586,799636,799636,816863,816863,816863,1247951,2118437,2974608,2974608,2974608,3141117,2974608,3373773,3670574.0,5159593.0,2966002.0
0425.txt,126357,290064,123291,57285753,126357,23050726,111958,151153,1503767,633591,83179,389577,151895,936437,389577,389577,139603,78728,325930,389577,389577,389577,389577,389577,389577,389577,389577,389577,5112036,1290180,1290180,1290180,1638311,1290180,1290180,1290180.0,1290180.0,1290180.0
0426.txt,1030566,1030566,1068550,36884675,1030566,13826812,1186925,4777958,4101994,5803573,1182984,1313292,4981802,971693,1041188,949216,1400095,2038313,2175670,949216,949216,949216,949216,949216,949216,949216,949216,1037633,6582062,1783292,1783292,1783292,2608947,1781634,1493590,1594546.0,1612291.0,1493590.0
0427.txt,161453,161453,161453,35519392,161453,14565215,1112645,781248,302453,825457,219190,320085,497628,131876,320085,320085,297667,434869,320085,320085,320085,320085,320085,320085,320085,320085,320085,1144141,11430753,555777,555777,555777,978321,555777,555777,555777.0,555777.0,555777.0
0428.txt,161628,509857,509857,52282211,161628,19845674,134834,3487389,470162,305577,343124,184377,972642,563314,184377,184377,941673,583546,583546,184377,184377,184377,184377,184377,184377,184377,184377,184377,787204,249113,249113,249113,412758,249113,249113,249113.0,249113.0,249113.0
0429.txt,1080870,1080870,1080870,46905203,1080870,21535449,8831650,7161092,1065285,988490,2200007,1065885,431517,1325141,1065885,1175307,279795,561146,1056475,1175307,1175307,1065885,1175307,1065885,1065885,1065885,1175307,1715017,677588,401775,401775,401775,474492,401775,401775,401775.0,401775.0,401775.0
0430.txt,3111013,2048998,2048998,52613846,3111013,23257181,1986205,5415233,694555,3438512,1243400,2564011,9349804,392839,2564011,2564011,747452,1421280,2564011,2564011,2564011,2564011,2564011,2564011,2564011,2564011,2564011,5192198,12453502,496309,496309,496309,522963,496309,496309,496309.0,496309.0,496309.0
0431.txt,885355,885355,885355,43161241,885355,23448104,355760,1474862,836871,1620711,607609,818514,494395,297076,818514,818514,290319,783772,227362,818514,818514,818514,818514,818514,818514,818514,818514,818514,23205377,900878,900878,900878,1162244,900878,900878,900878.0,900878.0,900878.0
0432.txt,20101,20101,20101,5736401,20101,20101,26601,9101,14501,24301,29501,8701,26701,1001,8701,8701,20301,26801,20701,8701,8701,8701,8701,8701,8701,8701,8701,8701,18460201,36301,36301,36301,36301,36301,36301,21433601.0,7564301.0,36301.0
0433.txt,15951,15951,15951,27021451,15951,15951,244851,152651,31451,20551,98151,11051,81251,1451,11051,11051,325651,236051,11051,11051,11051,11051,11051,11051,11051,11051,11051,11051,5491951,76851,76851,76851,76851,76851,76851,76851.0,76851.0,76851.0
0434.txt,760137,759944,759944,59109819,760137,15704159,563155,1508310,872130,917685,3020639,302086,709092,991667,302086,583087,1240972,1708889,1112995,583087,526559,576820,582133,526559,583087,583087,583087,583087,2433169,1426056,1426056,1426056,1783421,1426056,1458409,1515775.0,1548718.0,1426056.0
0435.txt,2301736,4762395,4173150,59678445,2301736,11966019,2048854,2333525,2681813,1033770,1680824,976817,678353,1548804,2090039,976817,1057521,2216018,2423918,976817,3334400,3821711,2156279,2898744,2156279,2156279,2156279,1771788,1203779,1447938,1447938,1447938,2005320,1447938,1447938,1498230.0,1499283.0,1447938.0
0436.txt,373951,365818,361656,72848978,373951,23487971,254984,1828996,726700,586796,63898,481309,828708,144334,481309,481309,564368,493515,389102,481309,584350,480725,584350,481309,584350,584350,584350,484252,827242,1635298,1635298,1635298,1795708,1635298,1646835,1728850.0,2561410.0,1635298.0
0437.txt,252098,4345014,2186281,55812917,252098,4540724,926860,11978578,1135351,2597415,542231,601585,572137,2137014,601585,601585,788064,1044398,1288230,601585,953640,601585,601585,601585,601585,601585,601585,2306900,6354848,736647,736647,736647,941001,615100,615100,615100.0,736647.0,615100.0
0438.txt,121158,121158,121158,72957401,121158,34366496,576369,198538,1686327,195829,703614,450897,568343,170307,450897,450897,2574899,1843488,1908147,450897,1118330,1118330,450897,1118330,1118330,450897,450897,450897,17271778,1563604,1563604,1563604,1626834,1563604,1563604,1563604.0,1563604.0,1563604.0
0439.txt,955545,991638,955545,30215493,955545,14957085,1686474,3218399,2237515,1194236,2906527,1110555,1354296,796942,1110555,915738,518697,723995,920356,915738,915738,1126497,915738,915738,915738,915738,915738,915738,6616442,856075,856075,856075,1259337,856075,856075,856075.0,856075.0,856075.0
0440.txt,98629,98629,98629,29065172,98629,33505967,1191939,81307,408547,218657,201919,571421,222247,410861,571421,571421,57218,551590,639797,571421,602082,602082,639797,602082,571421,571421,639797,571421,5152341,423643,423643,423643,423643,423643,423643,423643.0,423643.0,423643.0
0441.txt,2598147,1928209,1928209,50609794,2598147,33564354,2623807,3188570,662989,2605506,2332371,342264,580792,301885,342264,342264,2320978,481137,13477053,342264,342264,342264,342264,342264,342264,342264,342264,2907461,1114718,351682,351682,351682,601246,351682,351682,351682.0,351682.0,351682.0
0442.txt,6736486,7926597,7926597,26046072,6736486,17502152,8483419,7981878,8577498,8580155,8470793,6918234,8415808,7122084,6918234,6918234,8534609,7262712,7262712,6918234,6918234,6918234,6918234,6918234,6918234,6918234,6918234,8155380,2785642,3850780,3850780,3850780,3850780,3850780,3850780,3850780.0,3850780.0,3850780.0
0443.txt,68860,68860,68860,74606760,68860,31622998,144289,861121,777217,209176,495931,179126,82337,245808,179126,179126,157890,170905,157052,179126,179126,179126,179126,179126,179126,179126,179126,179126,30506666,152947,152947,152947,152947,152947,152947,152947.0,152947.0,152947.0
0444.txt,5151248,3414664,3414664,19584680,5151248,17836622,5585757,6899540,4261440,4220480,3927781,4770470,2654302,4256121,4770470,4770470,3049608,4770470,4770470,4770470,4770470,4770470,4770470,4770470,4770470,4770470,4770470,3652061,5141760,2811118,2811118,2811118,2811118,2811118,2811118,2811118.0,2811118.0,2811118.0
0445.txt,277970,186811,277970,61324220,277970,26753023,2285629,77213,220835,550615,294945,326197,466863,112652,326197,326197,45910,420987,459760,326197,326197,326197,326197,326197,326197,326197,326197,326197,20834466,213902,213902,213902,258689,213902,213902,213902.0,213902.0,213902.0
